date_time,total_inbound,total_outbound
NULL,329339928576.0,1375490015232.0
NULL,337689870336.0,1399076552704.0
NULL,341240840192.0,1422999814144.0
NULL,339719684096.0,1415978680320.0
NULL,340751843328.0,1419286937600.0
NULL,340721762304.0,1413569314816.0
NULL,343524999168.0,1427097387008.0
NULL,346160857088.0,1435196194816.0
NULL,347176108032.0,1437044310016.0
NULL,346004946944.0,1422916059136.0
NULL,345756827648.0,1417025945600.0
NULL,345909854208.0,1409961426944.0
NULL,346227048448.0,1404481306624.0
NULL,347910406144.0,1412746969088.0
NULL,345762922496.0,1411218800640.0
NULL,345746178048.0,1402972012544.0
NULL,345882296320.0,1393183162368.0
NULL,343877287936.0,1384164360192.0
NULL,341352120320.0,1365552398336.0
NULL,341236416512.0,1359918530560.0
NULL,339755171840.0,1347292364800.0
NULL,338728222720.0,1341176938496.0
NULL,339338166272.0,1334397501440.0
NULL,336010117120.0,1319697907712.0
NULL,334277804032.0,1308156887040.0
NULL,336046522368.0,1333129641984.0
NULL,331524898816.0,1341073653760.0
NULL,330079404032.0,1316781031424.0
NULL,330943954944.0,1305559957504.0
NULL,329208954880.0,1312461291520.0
NULL,330906533888.0,1339934507008.0
NULL,335030616064.0,1341443407872.0
NULL,333054115840.0,1340127051776.0
NULL,339454197760.0,1355810865152.0
NULL,344855281664.0,1362037047296.0
NULL,345981353984.0,1373357342720.0
NULL,344439980032.0,1373036478464.0
NULL,354458042368.0,1415290421248.0
NULL,357629919232.0,1437913186304.0
NULL,352499367936.0,1433646399488.0
NULL,358141460480.0,1446116327424.0
NULL,359240826880.0,1469932109824.0
NULL,361745973248.0,1497065193472.0
NULL,358799147008.0,1458839617536.0
NULL,360050262016.0,1460918943744.0
NULL,357962088448.0,1463714709504.0
NULL,358468157440.0,1458777096192.0
NULL,356868653056.0,1453148471296.0
NULL,355070869504.0,1444991467520.0
NULL,362325770240.0,1465733742592.0
NULL,363480416256.0,1460894040064.0
